 mean_spb1 mean_nuc1 prob1 mean_spb2 mean_nuc2 prob2 mean_spb3 mean_nuc3 prob3 mean_spb4 mean_nuc4 prob4 mean_spb5 mean_nuc5 prob5 mean_spb6 mean_nuc6 prob6 mean_spb7 mean_nuc7 prob7 mean_spb8 mean_nuc8 prob8 mean_spb9 mean_nuc9 prob9 mean_spb10 mean_nuc10 prob10
680 1.714275153825524 1.0554979410754433 0.26534502478078537 1.4267855452018268 1.1040793592549842 0.46016012199771256 1.5557645603971997 0.7905245216541715 0.6263820053374 1.2725758600574435 0.7814292161426405 0.73846740373618 1.5795231436082573 1.4746499298408864 0.8330156309569197 1.144279965129246 1.299375634346391 0.918795272588639 0.9289121194794148 1.0052185896699355 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
699 1.678121221628521 1.1508106265480218 0.1834016393442623 1.5109620027629638 0.9933216005945243 0.3545081967213115 1.6990190969582462 0.8353929965893704 0.5194672131147542 1.4501980204280471 0.7331602514328214 0.6470286885245903 1.2731208951011976 0.9249133403920768 0.7592213114754099 1.310764110464873 1.2203267997682594 0.8688524590163935 0.967198474126132 0.9923426995410016 0.9564549180327869 1.1341864668488508 0.6783543866029528 1.0 0.0 0.0 0.0 0.0 0.0 0.0
711 1.6214334312997052 0.863971702349014 0.23751429660693862 1.331227482476438 0.8768486339377015 0.44796035074342355 1.4788380000011194 0.6581482437994143 0.6351505909264201 1.2359068108360614 0.6587556699306415 0.739992375142966 1.4599237259668838 1.1459293675709024 0.8345406023637056 1.0421931910374125 1.0684056141803675 0.9248951582157834 0.98743550461197 0.7565048131209052 0.9999999999999999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
784 1.6018545301131206 0.8474630454203482 0.17008196721311475 1.82360714362991 0.7877072298100576 0.3377049180327869 1.573328039262286 0.6350495640876389 0.4905737704918033 1.387478048059479 0.7851039922034814 0.6413934426229508 1.6751513238026587 1.0115593739908706 0.7467213114754099 1.3557428213199294 0.9706304127268962 0.8471311475409836 1.1247233538386647 0.7850769394313812 0.934016393442623 1.323860992937586 0.5875904885508229 1.0 0.0 0.0 0.0 0.0 0.0 0.0
821 1.6433430669513618 1.0687075352821964 0.16627634660421545 1.6507404403602146 0.8057657420161671 0.31420765027322406 1.7017193201240701 1.3401662866442796 0.44964871194379397 1.4185043939981643 0.9903755589246028 0.5792349726775957 1.3944568595330944 1.2271252265481378 0.7072599531615926 1.0913095262726 0.9425772905267584 0.8302107728337238 1.3506352698248572 0.7543909925426631 0.9215456674473069 1.0574981719988157 1.3222653341471728 1.0 0.0 0.0 0.0 0.0 0.0 0.0
839 1.6339636807708575 1.314491476308967 0.2459016393442623 1.6513550600154672 0.9957238451869608 0.44976881042454814 1.3973024629915674 1.152800593562344 0.6128625472887768 1.1320015527543743 0.8996807672275187 0.7225725094577553 1.3827501879993809 1.5345122064856391 0.823034888608659 1.0228751670731726 1.2900268398706614 0.9117276166456494 1.4526164258202692 0.7708967630027816 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
859 1.441686015233414 1.2400823450139271 0.24077868852459017 1.7173250275183505 1.424570752309424 0.4149590163934426 1.7314795962266507 1.0355202544440456 0.5806010928961749 1.381635909193891 0.8990025761873868 0.7045765027322405 1.1869970572663089 1.5135295577750183 0.8224043715846995 1.534678982866951 1.7663884184548722 0.9159836065573771 1.0402780684197372 1.0843521908658478 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
890 1.39843060019952 1.3421360168885812 0.21311475409836064 1.666673564618551 1.5156153714196694 0.3836065573770492 1.7401373174753054 1.1430459199362186 0.5327868852459017 1.1891278565255288 1.6988429993600924 0.6754098360655738 1.6188202385103223 1.8757977032982216 0.7961748633879782 1.486344824188054 0.9255315611389062 0.898360655737705 1.2068988877119262 1.034075251233967 0.9601092896174864 0.9539008855452744 1.270662705613222 1.0 0.0 0.0 0.0 0.0 0.0 0.0
915 1.4099225802198216 2.039731190934221 0.1592505854800937 1.5424550901703562 1.5399625897832865 0.30640124902419985 1.474091408306557 1.2664510566144316 0.4238875878220141 1.1782750894351999 1.7580370907734348 0.5226385636221702 1.16361400204996 1.4343681275609141 0.617096018735363 1.7080929969743062 1.794479420171291 0.704527712724434 1.311137359078319 1.0137696719754772 0.7872755659640905 1.8520557238189297 1.3642846827629325 0.8680718188914911 1.645746406725778 0.9968069627443209 0.9473067915690867 0.9982485056314112 1.1476427611112647 1.0
970 1.6366583036236615 1.4879547994395486 0.14440181374258806 1.5696827261339743 1.907163121841387 0.2867108475758633 1.1585867579964424 1.806613151967689 0.41437042204394836 1.3149291748756098 2.189359434331488 0.533658876874782 1.5899864949085225 1.0575912283100053 0.6414370422043948 1.3745891522538465 1.5855707990651604 0.7310777816532961 1.3883231115554444 1.3117114344714291 0.8203697244506452 1.0032090745827265 1.487155862140027 0.8953610045343565 1.1487902788934208 1.1425243965600322 0.9581444018137426 2.052477503076385 1.8360409410799887 1.0
992 1.038722989511828 1.837303471871056 0.14363778298204527 1.5394531614034506 1.553784563017217 0.27322404371584696 1.3621316671053367 1.818079582498592 0.4020296643247463 1.2524837224061252 2.2028725589096365 0.5187353629976581 1.6195610347615852 2.0079056668434725 0.6315378610460578 1.4806831471728337 1.2345862445314888 0.7384855581576893 1.3834165111728935 0.9004149560643256 0.8337236533957846 1.2314431463564453 1.5229224044210072 0.9234972677595629 1.005991554760175 1.2323648333497803 1.0 0.0 0.0 0.0
1004 1.5714048811413173 1.4258087924742606 0.136484940907358 1.241909910573077 2.2635762122877403 0.2695386961494472 1.5368452214224642 2.020260053714629 0.39496759435760576 1.3252781509316076 1.6877936013628183 0.5070529927563858 1.4763222139036123 0.9823568069222944 0.6107510484178422 1.0568060333567626 1.1463597993636472 0.7102554327106367 1.2919817420581308 1.3180441854957587 0.8082348455966452 1.0213717540124307 1.5379319891155052 0.9046892870758674 1.1556594241191651 1.9566730215411507 1.0 0.0 0.0 0.0
1051 1.2911518732180265 1.45613062872246 0.1540983606557377 1.3010281437577151 2.3212832045929144 0.29631147540983604 1.5415976668088718 2.0884745497885566 0.42336065573770487 1.325478577175914 1.8400217760634692 0.5459016393442623 1.1263752534890048 1.9746553088113248 0.6569672131147541 1.54923477288111 1.6624833600665854 0.7663934426229508 1.4121100567036748 0.9935213814535964 0.8418032786885246 1.0272054286759889 1.6509297470453919 0.9077868852459017 1.0281246274562157 1.2182523102042653 0.9725409836065574 1.650778418351834 1.266420172994978 1.0
1078 1.1578478786124238 2.16086436209369 0.14301865460712268 1.176947102563788 1.6957155145597074 0.28518937252685134 1.439180122462104 1.7508360400637788 0.4253815715093273 1.3947345397665911 2.2952985349981496 0.5613340870548332 1.0196434356428408 1.4516155216293358 0.6890898812888637 1.3058707016308182 1.9552309007623483 0.8035613340870548 0.9970566711016812 1.8935888593266383 0.9010740531373657 1.5075367791253922 1.2962532737914227 0.9609949123798758 1.18718775307167 1.002204171274828 1.0000000000000002 0.0 0.0 0.0
